date,level,country,lat,long,population,tz,state_abbr
2020-02-27,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-28,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-02-29,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-01,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-02,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-03,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-04,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-05,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-06,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-07,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-08,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-09,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-10,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-11,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-12,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-13,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-14,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-15,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-16,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-17,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-18,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-19,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-20,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-21,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-22,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-23,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-24,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-25,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-26,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-27,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-28,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-29,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-30,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-03-31,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-01,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-02,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-03,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-04,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-05,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-06,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-07,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-08,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-09,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-10,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-11,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-12,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-13,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-14,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-15,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
